Deal ID,Product,Country,Client (Person),Client (Company),Bank Employee Contact,Start Date,End Date,Deal Type
1,Musical Instruments,Singapore,Daniel Mata,"Steele, White and Beasley",Christopher Daniel,2022-12-23,2023-03-23,Public
2,Pharmaceuticals,United States,Roger Maddox,Gilmore-Luna,Gail Johnson,2022-05-02,2022-07-31,Private
3,REITs,Singapore,Ricky Diaz,Perkins-Matthews,Marc Wiley,2022-03-26,2022-06-24,Public
4,Pet Supplies,United Arab Emirates,Vincent Edwards,"Roberts, Edwards and Morrison",Christopher Lee,2022-05-27,2022-08-25,Private
5,Mobile Phone Operators,Cameroon,Sharon Morris,Harris-Clark,Kathryn Robertson,2023-02-01,2023-05-02,Private
6,Pharmaceuticals,Costa Rica,Mike Morrow,Wilson LLC,Michael Carrillo,2022-10-21,2023-01-19,Private
7,Cruise Ships,Nigeria,Brad Pope,Diaz-Butler,Donald Watson,2023-08-13,2023-11-11,Public
8,Schools,Jamaica,Jennifer Mccormick,Romero PLC,Steven Lynn,2022-06-07,2022-09-05,Public
9,Pet Supplies,Malaysia,Richard Williams,Jones-Wang,Jody Green,2022-12-22,2023-03-22,Public
10,Electronics,United States,Latoya Robinson DDS,Thompson-Gamble,Patricia Ford,2023-04-06,2023-07-05,Private
11,Wealth Management,China,Mark Anderson,Davies-Brown,Neil Coleman,2023-08-23,2023-11-21,Private
12,Internet Service Providers,Ireland,Dawn Gonzales,Stewart-Phillips,Phillip Jarvis,2022-12-10,2023-03-10,Public
13,Home Appliances,Canada,Kenneth Collins,Thompson-Gamble,Laura Campbell,2022-07-20,2022-10-18,Private
14,Office Supplies,Australia,Paul Bryant,White-Moses,Andrea Gomez,2022-01-12,2022-04-12,Private
15,Trucking Companies,India,Megan Moore,Ward-Wright,Mark Williams,2023-03-12,2023-06-10,Private
16,Office Supplies,Ireland,Sandra Lopez,Barber-Trujillo,Amanda Harris,2023-08-13,2023-11-11,Public
17,Oil & Gas,Ireland,Jonathon Odom,Williams-Spears,Michele Finley,2022-11-20,2023-02-18,Private
18,Telecom Equipment Manufacturers,Cameroon,Mr. Micheal Hawkins,Nelson-Scott,Jonathan Anderson,2023-08-21,2023-11-19,Private
19,Office Supplies,Singapore,Stephanie Deleon,White-Moses,Jeremy Stewart,2022-01-31,2022-05-01,Public
20,Trucking Companies,Hungary,Carl Weaver,"Brennan, Thompson and Mcbride",Melissa Harris,2022-10-12,2023-01-10,Public
21,Home Appliances,Canada,Jenna Phillips,Garcia-Murillo,Melissa Smith,2023-06-02,2023-08-31,Public
22,Automobile Manufacturers,Germany,Carl Weaver,"Brennan, Thompson and Mcbride",Anthony Crane,2023-08-18,2023-11-16,Private
23,Office Supplies,Hungary,Taylor Lynn,Barber-Trujillo,Danielle Baxter,2023-07-23,2023-10-21,Private
24,Food & Beverages,Canada,George Alexander,"Brown, Young and Johnson",Kendra Scott,2022-03-26,2022-06-24,Public
25,Baby Products,Japan,Holly Thompson,Jones-Wang,Nicole Taylor,2022-07-06,2022-10-04,Private
